MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,GROOTHEID_OMSCHRIJVING,WAARNEMINGDATUM,REFERENTIE,NUMERIEKEWAARDE
Driel boven,DRIELBVN,Temperatuur,03-01-2019,00:20:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,00:30:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,00:40:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,00:50:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,01:00:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,01:10:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,01:20:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,01:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,01:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,01:50:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,02:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,02:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,02:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,02:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,02:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,02:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,03:00:00,"6,7"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,03:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,03:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,03:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,03:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,03:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,04:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,04:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,04:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,04:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,04:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,04:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,05:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,05:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,05:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,05:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,05:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,05:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,06:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,06:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,06:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,06:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,06:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,06:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,07:00:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,07:10:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,07:20:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,07:30:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,07:40:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,07:50:00,"6,6"
Driel boven,DRIELBVN,Temperatuur,03-01-2019,08:00:00,"6,6"
