MEETPUNT_IDENTIFICATIE,LOCATIE_CODE,WAARNEMINGDATUM,Average Temperatuur
Borgharen stuw.,BORGHRSW,28-03-2020,10.0
Borgharen stuw.,BORGHRSW,28-04-2020,18.0
Borgharen stuw.,BORGHRSW,28-05-2019,18.0
Borgharen stuw.,BORGHRSW,28-05-2020,20.0
Borgharen stuw.,BORGHRSW,28-07-2019,24.0
Borgharen stuw.,BORGHRSW,28-07-2020,22.0
Borgharen stuw.,BORGHRSW,28-08-2019,24.0
Borgharen stuw.,BORGHRSW,28-08-2020,21.0
Borgharen stuw.,BORGHRSW,28-09-2020,17.0
Borgharen stuw.,BORGHRSW,28-11-2019,9.565217391304348
Borgharen stuw.,BORGHRSW,28-11-2020,10.0
Borgharen stuw.,BORGHRSW,28-12-2019,8.0
Borgharen stuw.,BORGHRSW,28-12-2020,7.0
Borgharen stuw.,BORGHRSW,29-01-2020,6.0
Borgharen stuw.,BORGHRSW,29-02-2020,7.0
Borgharen stuw.,BORGHRSW,29-05-2019,18.0
Borgharen stuw.,BORGHRSW,29-05-2020,19.96875
Borgharen stuw.,BORGHRSW,29-06-2019,24.151515151515152
Borgharen stuw.,BORGHRSW,29-06-2020,23.0
Borgharen stuw.,BORGHRSW,29-07-2019,23.928571428571427
Borgharen stuw.,BORGHRSW,29-07-2020,22.0
Borgharen stuw.,BORGHRSW,29-08-2019,24.0
Borgharen stuw.,BORGHRSW,29-09-2020,17.0
Borgharen stuw.,BORGHRSW,29-10-2019,14.0
Borgharen stuw.,BORGHRSW,29-11-2019,10.0
Borgharen stuw.,BORGHRSW,29-11-2020,9.0
Borgharen stuw.,BORGHRSW,29-12-2020,6.0
Borgharen stuw.,BORGHRSW,30-01-2020,6.0
Borgharen stuw.,BORGHRSW,30-03-2019,11.0
Borgharen stuw.,BORGHRSW,30-03-2020,9.0
Borgharen stuw.,BORGHRSW,30-04-2020,17.0
Borgharen stuw.,BORGHRSW,30-05-2019,18.0
Borgharen stuw.,BORGHRSW,30-05-2020,20.0
